ID,ITEM,NOMBRE,LISTA,ID_FORMULA,1-COD,1-NOMBRE,1-CANTIDAD,2-COD,2-NOMBRE,2-CANTIDAD,3-COD,3-NOMBRE,3-CANTIDAD,4-COD,4-NOMBRE,4-CANTIDAD,5-COD,5-NOMBRE,5-CANTIDAD,6-COD,6-NOMBRE,6-CANTIDAD,7-COD,7-NOMBRE,7-CANTIDAD,8-COD,8-NOMBRE,8-CANTIDAD,9-COD,9-NOMBRE,9-CANTIDAD,10-COD,10-NOMBRE,10-CANTIDAD,11-COD,11-NOMBRE,11-CANTIDAD
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28ffaa6d,141,141-FE SULFATO CALCIO P-CALFERQUIM 1-G,7,141-L07,74,74-KIESERITA-MANUCHAR 1-P,50,5,5-SULFATO CALCIO-ANIBAL ARANGO 1-P,750,105,105-CARBONATO CALCIO-JAMAROL 3-P,150,274,274-SILICATO MAGNESIO-JULIAN SALDARRIAGA 1-P,50,,,,,,,,,,,,,,,,,,,,,
818ad5b2,62,62-NUCLEO CAMASI GRIS-CALFERQUIM 1-G,4,62-L04,74,74-KIESERITA-MANUCHAR 1-P,50,274,274-SILICATO MAGNESIO-JULIAN SALDARRIAGA 1-P,100,105,105-CARBONATO CALCIO-JAMAROL 3-P,850,,,,,,,,,,,,,,,,,,,,,,,,
ddda798e,452,452-NUCLEO CAMASI ROJO-CALFERQUIM 1-G,0,452-L00,75,75-KIESERITA- 1-G,50,111,111-BENTONITA ROJA-FERTICAUCA 4-P,600,105,105-CARBONATO CALCIO-JAMAROL 3-P,350,,,,,,,,,,,,,,,,,,,,,,,,
629646f9,65,65-NUCLEO 4-CALFERQUIM 1-G,5,65-L05,75,75-KIESERITA- 1-G,100,5,5-SULFATO CALCIO-ANIBAL ARANGO 1-P,150,120,120-CAL DOLOMITA-BM 1-P,100,105,105-CARBONATO CALCIO-JAMAROL 3-P,250,274,274-SILICATO MAGNESIO-JULIAN SALDARRIAGA 1-P,400,,,,,,,,,,,,,,,,,,
54fc2528,62,62-NUCLEO CAMASI GRIS-CALFERQUIM 1-G,0,62-L00,74,74-KIESERITA-MANUCHAR 1-P,50,110,110-CAOLIN GRIS- 1-P,600,105,105-CARBONATO CALCIO-JAMAROL 3-P,350,,,,,,,,,,,,,,,,,,,,,,,,
c61b89df,558,558-NUCLEO MAGNESIO-SILICIO EM-CALFERQUIM 1-G,2,558-L02,75,75-KIESERITA- 1-G,50,274,274-SILICATO MAGNESIO-JULIAN SALDARRIAGA 1-P,900,111,111-BENTONITA ROJA-FERTICAUCA 4-P,50,,,,,,,,,,,,,,,,,,,,,,,,
c05146da,558,558-NUCLEO MAGNESIO-SILICIO EM-CALFERQUIM 1-G,3,558-L03,74,74-KIESERITA-MANUCHAR 1-P,50,111,111-BENTONITA ROJA-FERTICAUCA 4-P,50,274,274-SILICATO MAGNESIO-JULIAN SALDARRIAGA 1-P,900,,,,,,,,,,,,,,,,,,,,,,,,
eb47d71e,679,679-NUCLEO FOSFORO 10-CALFERQUIM 1-G,3,679-L03,74,74-KIESERITA-MANUCHAR 1-P,50,5,5-SULFATO CALCIO-ANIBAL ARANGO 1-P,300,105,105-CARBONATO CALCIO-JAMAROL 3-P,150,111,111-BENTONITA ROJA-FERTICAUCA 4-P,50,290,290-ROCA FOSFORICA-26-PRACO 1-P,450,,,,,,,,,,,,,,,,,,
3aa69a3f,635,635-MFE 15N-9P-20K+EM-CALFERQUIM 1-G,3,635-L03,12,12-UREA-CIAMSA 7-G,70,35,35-SILIMAGRAN-CALFERQUIM 1-G,225,97,97-DAP-CIAMSA 4-G,410,144,144-KCL-DISAN 6-G,75,160,160-ZUELO CA-CALFERQUIM 1-G,220,155,,,160,,,,,,,,,,,,,,
